"ID","SongName","Performer","CivilDate","HebrewDate","Composer","Poet","MusicalAdapter","Others","PlaceOfPublication","NameOfPublisher"
"003680197","אפילו אם הלילה","תבורי שימי","1993","","חיטמן עוזי","חיטמן עוזי","ברנדס ננסי","","",""
"003680198","כשהתאהבתי בך","תבורי שימי","1993","","דוד מאיר","רבין אליעוז","נגרי בני","","",""
"003680199","נתת לי לקחת לי","תבורי שימי","1993","","","גולדהירש אילן","נגרי בני","אסא חיים","",""
"003680200","לעוף איתך","תבורי שימי","1993","","הירש נורית","מנור אהוד","ברנדס ננסי","","",""
"003680201","מכל מה שבקשתי","תבורי שימי","1993","","חיטמן עוזי","חיטמן עוזי","נגרי בני","","",""
"003680204","אל תשחקי בי","עפיה מושיק","1998","","פוליקוב לא מזוהה","גיספן יוסי","עג'ם תומר","","",""
"003680206","אין אדם מושלם","עפיה מושיק","1998","","","גיספן יוסי","עג'ם תומר","","",""
"003680207","היה לא היה","עפיה מושיק","1998","","גיספן יוסי","גיספן יוסי","עג'ם תומר","","",""
"003680210","אלף ימים ולילות","עפיה מושיק","1998","","עג'ם תומר","גיספן יוסי","עג'ם תומר","","",""
"003680212","עד כלות הנשימה","משה חיים","1988","","הראל-חיימוב יורם","חיימוב אורי","קריב אורי","","",""
"003680213","לבד יושבת","משה חיים","1988","","מדינה אביהו","מדינה אביהו","ברנדס ננסי","","",""
"003680214","להיות זמר","משה חיים","1988","","שרעבי ציון","חיטמן עוזי","ברנדס ננסי","","",""
"003680217","לאן הלכת","משה חיים","1988","","הראל-חיימוב יורם","חיימוב אורי","ברנדס ננסי","","",""
"003680218","הגיטרה והבוזוקי","משה חיים","1988","","","הראל-חיימוב יורם","הדר חיים","","",""
"003680221","הגיטרה","משה חיים","1988","","בן מוש משה","מדינה אביהו","בן מוש משה","","",""
"003680225","מחרוזת תני לי","יוספי לידור","","","","","","","",""
"003680226","מחרוזת ראש בראש","יוספי לידור","","","","","","","",""
"003680227","מחרוזת ילד עולם","יוספי לידור","","","","","","","",""
"003680228","מחרוזת קפה בשניים","יוספי לידור","","","","","","","",""
"003680229","מחרוזת זוהר","יוספי לידור","","","","","","","",""
"003680230","מחרוזת אתניקס","יוספי לידור","","","","","","","",""
"003680232","מחרוזת יוונית","יוספי לידור","","","","","","","",""
"003680235","החליל","שמינית ווקאל","1992","","זהבי דוד","גולדברג לאה","ויזנברג מנחם","","",""
"003680237","דני בוי","שמינית ווקאל","1992","","","אמיר חירם","","","",""
"003680239","שיר הרמזים","שמינית ווקאל","1992","","גנג רון","לוין חנוך","גנג רון, זליג רפאל","","",""
"003680240","ספרי תמה","שמינית ווקאל","1992","","","סעדיה בן עמרם","עודד ברק","","",""
"003680241","אודה לאלי","שמינית ווקאל","1992","","ויזנברג מנחם","","","","",""
"003680244","שיר הרמזים","שמינית ווקאל","1992","","גנג רון","לוין חנוך","גנג רון, זליג רפאל","","",""
"003680245","סיבה לכל דבר-אל נבקש","ארגוב זוהר","1992","","נגר משה","לוי תמי","ברקוביץ אריה","","",""
"003680246","דובשנית","הרוש איציק","1992","","שושן דני","שושן דני","למאי יעקב","","",""
"003680247","מחרוזת מרוקאית","בן זהבה","1992","","","","בן שמעון רובי","","",""
"003680248","סמרה סמרה","חן רובי","1992","","","שושן דני","ברקוביץ אריה","","",""
"003680249","ממלכת העיר","לוי עופר","1992","","","גרנות יהושע","","","",""
"003680251","בואו אלינו לחגוג","חן לימור","1992","","","ריבלין דן","","","",""
"003680252","נחליאלי","להקת שפתיים","1992","","כספי מתי","מנור אהוד","אוליאל חיים","","",""
"003680253","משתוקק אליה","עלאמי ר","1992","","פוליקוב לא מזוהה","פוליקוב לא מזוהה","","","",""
"003680255","החיים הם חגיגה","רואה יוסי","1992","","","גרנות יהושע","","","",""
"003680256","סולטנה","לוי דרור","1992","","","ספדיה ארלט","לוגסי אשר","","",""
"003680257","בי נשבעתי","קלה איציק","1992","","","זיגמן דוד","למאי יעקב","","",""
"003680258","ים של דמעות","סרטוק מיטין","1992","","פוליקוב לא מזוהה","פוליקוב לא מזוהה","","","",""
"003680260","כשנכנסת לתוך חיי","","","","אלבז בני","אלבז בני","","","",""
"003680261","שרון","אלבז בני","","","אלבז בני","חיטמן עוזי","ברקוביץ אריה","","",""
"003680262","רוקדת הפלמנקו","אלבז בני","","","פוליקוב לא מזוהה","חיטמן עוזי","ברקוביץ אריה","","",""
"003680263","אנשים רקדו סירטקי","אלבז בני","","","פוליקוב לא מזוהה","חיטמן עוזי","ברקוביץ אריה","","",""
"003680265","כל החיילים חוזרים הביתה","","","","פרננד אריה","פרננד אריה","","","",""
"003680266","גדי","","","","אלבז בני","אלבז בני","","","",""
"003680268","בניתי לה בית","אלבז בני","","","","חיטמן עוזי","ברקוביץ אריה","","",""
"003680270","כשנכנסת לתוך חיי","","","","אלבז בני","אלבז בני","","","",""
"003680271","שרון","אלבז בני","","","אלבז בני","חיטמן עוזי","ברקוביץ אריה","","",""
"003680272","רוקדת הפלמנקו","אלבז בני","","","פוליקוב לא מזוהה","חיטמן עוזי","ברקוביץ אריה","","",""
"003680273","אנשים רקדו סירטקי","אלבז בני","","","פוליקוב לא מזוהה","חיטמן עוזי","ברקוביץ אריה","","",""
"003680275","כל החיילים חוזרים הביתה","","","","פרננד אריה","פרננד אריה","","","",""
"003680276","גדי","","","","אלבז בני","אלבז בני","","","",""
"003680278","בניתי לה בית","אלבז בני","","","","חיטמן עוזי","ברקוביץ אריה","","",""
"003680279","את האשה שלי","כספי מתי","2005","","כספי מתי","כספי מתי","כספי מתי","","",""
"003680280","זמר שלוש המחוות","כספי מתי","2005","","כספי מתי","רוטבליט יעקב","כספי מתי","","",""
"003680281","חרוזי אהבה","כספי מתי","2005","","כספי מתי","כספי מתי","כספי מתי","","",""
"003680282","וווו","כספי מתי","2005","","כספי מתי","כספי מתי","כספי מתי","","",""
"003680283","אם יש אלוהים","כספי מתי ושון","2005","","כספי מתי","מנור אהוד","כספי מתי","","",""
"003680284","שיר מספר שש","כספי מתי","2005","","כספי מתי","כספי מתי","כספי מתי","","",""
"003680285","השלום","כספי מתי","2005","","כספי מתי","בנאי יוסי","כספי מתי","","",""
"003680286","חיבור","כספי מתי","2005","","כספי מתי","כספי מתי, כספי רחל","כספי מתי","","",""
"003680287","חלום אי מנותק","כספי מתי","2005","","כספי מתי","בר מאיר איילת","כספי מתי","","",""
"003680291","עוד אבוא אל סיפך","בנאי יוסי","2004","","לרר עודד","אלתרמן נתן","רייזמן שושנה","","",""
"003680293","הזר המקנא לחן רעייתו","לביא אריק","2004","","מוכיח אילן","אלתרמן נתן","מוכיח אילן","","",""
"003680297","שיר הפונדקאית","מרון חנה, צמד הדודאים","2004","","ברתיני גארי","אלתרמן נתן","קריבושי דוד","","",""
"003680302","ירח","גורן עדנה וסנל דויד","2004","","היימן נחום","אלתרמן נתן","","","",""
"003680303","בין שלוש ובין ארבע","לביא אריק רובינא אילנהגוב גידיזוהר רבקהיובל ח","2004","","","אלתרמן נתן","פולני נעמי","","",""
"003680305","שדרות בגשם","כהן יזהר","2004","","היימן נחום","אלתרמן נתן","","","",""
"003680308","קול דודי","עובד מיכאל","2010","","עובד מיכאל","עובד מיכאל","עובד מיכאל","","",""
"003680309","לחיות את חיי","עובד מיכאל","2010","","עובד מיכאל","עובד מיכאל","עובד מיכאל","","",""
"003680310","לב טהור","עובד מיכאל","2010","","עובד מיכאל","עובד מיכאל","עובד מיכאל","","",""
"003680311","אליהו הנביא","עובד מיכאל","2010","","עובד מיכאל","","עובד מיכאל","","",""
"003680312","יש מציאות שם","עובד מיכאל","2010","","עובד מיכאל","עובד מיכאל","עובד מיכאל","","",""
"003680313","השיגרה","עובד מיכאל","2010","","עובד מיכאל","עובד מיכאל","עובד מיכאל","","",""
"003680314","כאייל תערוג","עובד מיכאל","2010","","עובד מיכאל","","עובד מיכאל","","",""
"003680315","גברת ענווה","עובד מיכאל","2010","","עובד מיכאל","עובד מיכאל","עובד מיכאל","","",""
"003680316","ה' שפתי תפתח","עובד מיכאל","2010","","עובד מיכאל","","עובד מיכאל","","",""
"003680317","אל תוך האין סוף","עובד מיכאל","2010","","עובד מיכאל","","עובד מיכאל","","",""
"003680318","ללכת עם האור","בן זהבה","2007","","וקנין מיכאל","גיספן יוסי","למאי יעקב","","",""
"003680319","שאני איתך","בן זהבה, לוי עופר","2007","","","גיספן יוסי","למאי יעקב","","",""
"003680320","משקר","נחמה זאב, בן זהבה","2007","","קליסקי תמיר, נחמה זאב","נחמה זאב","קליסקי תמיר, נחמה זאב","","",""
"003680321","מתגעגעת","בן זהבה","2007","","רביבו אילן יעקב","רביבו אילן יעקב","למאי יעקב","","",""
"003680322","פוגע בי","בן זהבה","2007","","גל דורון","גל דורון","למאי יעקב","","",""
"003680323","אוהבת","בן זהבה","2007","","לאון עדי","לב רמי","למאי יעקב","","",""
"003680324","מי תאהב אותך יותר","בן זהבה","2007","","לב רמי","לב רמי","למאי יעקב","","",""
"003680325","מכולת","בן זהבה, דוכין ארקדי","2007","","דוכין ארקדי","שטרית מיכה","דוכין ארקדי","","",""
"003680326","לילה","בן זהבה","2007","","זילברשטין איתי, ביג אם","גיספן יוסי","זילברשטין איתי, ביג אם","","",""
"003680327","אתה הולך","בן זהבה","2007","","","גיספן יוסי","למאי יעקב","","",""
"003680328","קח אותי לאהבה","בן זהבה","2007","","לאון עדי","גיספן יוסי","למאי יעקב","","",""
"003680346","כל המעלות","אזולאי יוסי","2005","","אביב רן","אזולאי יוסי","אביב רן","","",""
"003680347","כל המעלות","אזולאי יוסי","2005","","אביב רן","אזולאי יוסי","אביב רן","","",""
"003680348","בגלל האהבה","אזולאי יוסי","2005","","אביב רן","לב רמי","אביב רן","","",""
"003680349","הכוח באהבתך","אזולאי יוסי ויואב יצחק","2005","","אזולאי יוסי","אזולאי יוסי","אביב רן","","",""
"003680350","יום אחד איתך","אזולאי יוסי","2005","","אזולאי יוסי","אזולאי יוסי","אביב רן","","",""
"003680351","כולם יודעים יותר","אזולאי יוסי","2005","","אביב רן","אזולאי יוסי","אביב רן","","",""
"003680352","כסף","אזולאי יוסי","2005","","אביב רן","אזולאי יוסי","אביב רן","","",""
"003680353","דאזה וו","אזולאי יוסי","2005","","חנוך שלום","חנוך שלום","אזולאי יוסי, אביב רן","","",""
"003680354","פס ליום אחד","אזולאי יוסי","2005","","אזולאי יוסי","אזולאי יוסי","אביב רן","","",""
"003680355","דונט וורי בייבי","אזולאי יוסי","2005","","אזולאי יוסי","אזולאי יוסי","שקד חזי","","",""
"003680356","ציפור אבודה בידיך","אזולאי יוסי","2005","","אביב רן","אזולאי יוסי","אביב רן","","",""
"003680357","לבד","אזולאי יוסי","2005","","אביב רן","אזולאי יוסי","אביב רן","","",""
"003680359","שירת הנווד","אזולאי יוסי","2005","","אזולאי יוסי","","אזולאי יוסי, אביב רן","","",""
"003680362","מן הקולות","משה חיים","1997","","","חיטמן עוזי","חרד יגאל","","",""
"003680363","היא לקחה אותי","משה חיים","1997","","","חיטמן עוזי","חרד יגאל","","",""
"003680364","הדייג","משה חיים","1997","","","מדינה אביהו","חרד יגאל","","",""
